mouse,month,treatment,hotspots,ln2volume
#003,1,UV,0,13.6646216
#006,1,UV,0,13.6646216
#282,1,UV,0,13.6646216
#282,1,UV,0,13.67228737
#009,1,UV,0,13.67381565
#258,1,UV,0,13.67381565
#289,1,UV,0,13.67457918
#131,1,UV,0,13.67534231
#131,1,UV,0,13.67534231
#258,1,UV,0,13.67762928
#974,1,UV,0,13.67762928
#009,1,UV,0,13.67839079
#289,1,UV,0,13.67839079
#970,1,UV,0,13.68067294
#022,1,UV,0,13.68295148
#970,1,UV,0,13.68295148
#022,1,UV,0,13.68371019
#263,1,UV,0,13.68446851
#006,1,UV,0,13.68674107
#970,1,UV,0,13.68976558
#003,1,UV,0,13.69127547
#970,1,UV,0,13.69127547
#317,1,UV,0,13.69353734
#974,1,UV,0,13.69429051
#258,1,UV,0,13.69504328
#291,1,UV,0,13.69579567
#970,1,UV,0,13.69654766
#258,1,UV,0,13.70254952
#006,1,UV,0,13.703298
#006,1,UV,0,13.70852651
#009,1,UV,0,13.71150575
#022,1,UV,0,13.71150575
#258,1,UV,0,13.7122496
#003,1,UV,0,13.71299306
#258,1,UV,0,13.71447885
#006,1,UV,0,13.71670466
#006,1,UV,0,13.71670466
#022,1,UV,0,13.71744583
