,mouse_id,month,treatment,structure_volume,distribution_volume
423,#003,m1,UV,19.03742753,0.012438606
424,#003,m1,UV,17.307832,0.012438606
425,#003,m1,UV,16.86069735,0.012438606
426,#003,m1,UV,16.35277035,0.012438606
427,#003,m1,UV,13.88382623,0.012438606
428,#003,m1,UV,14.10725585,0.012438606
429,#003,m1,UV,17.26879911,0.012642041
430,#003,m1,UV,13.39496189,0.012642041
431,#003,m1,UV,15.41930981,0.012642041
432,#003,m1,UV,15.76894038,0.012642041
433,#003,m1,UV,16.00077561,0.012642041
434,#003,m1,UV,15.27044148,0.012642041
435,#003,m1,UV,15.98162213,0.012642041
436,#003,m1,UV,16.658556,0.012845476
437,#003,m1,UV,14.34499751,0.012845476
438,#003,m1,UV,14.91064654,0.012845476
439,#003,m1,UV,14.03179603,0.012845476
440,#003,m1,UV,13.62803659,0.012845476
441,#003,m1,UV,13.89238433,0.012845476
442,#003,m1,No UV,13.52934534,0.012845476
443,#003,m1,No UV,16.43449025,0.013048912
444,#003,m1,No UV,14.01078699,0.013048912
445,#003,m1,No UV,14.52850092,0.013048912
446,#003,m1,No UV,14.81658626,0.013048912
447,#003,m1,No UV,14.31397062,0.013048912
448,#003,m1,No UV,16.28588898,0.013048912
449,#003,m1,No UV,18.37063778,0.013048912
450,#003,m1,No UV,15.35574879,0.01316516
451,#003,m1,No UV,14.74387762,0.01316516
452,#003,m1,No UV,18.56673888,0.01316516
453,#003,m1,No UV,18.90754443,0.01316516
454,#003,m1,No UV,17.80098047,0.013252347
455,#003,m1,No UV,18.22955777,0.013252347
456,#003,m1,No UV,19.036277,0.013252347
457,#003,m1,No UV,19.79308086,0.013484844
458,#003,m1,No UV,16.763209,0.013484844
459,#003,m1,No UV,16.04543723,0.013484844
460,#003,m1,No UV,17.72819625,0.013484844
461,#003,m1,No UV,15.91113254,0.013484844
462,#003,m1,No UV,17.00130826,0.013484844
463,#003,m1,No UV,18.15956294,0.013484844
464,#003,m1,No UV,18.28797986,0.013484844
