mouse_id,month,treatment,structure_volume
#970,m1,UV,13.3612131
#303,m2,UV,13.3621613
#974,m2,UV,13.3621613
#974,m2,UV,13.3621613
#009,m4,UV,13.36310889
#022,m6,UV,13.36310889
#970,m6,UV,13.36405585
#258,m2,UV,13.36500219
#291,m3,UV,13.36500219
#006,m4,UV,13.36594791
#006,m5,UV,13.36594791
#009,m4,UV,13.36594791
#131,m1,UV,13.36594791
#263,m2,UV,13.36594791
#303,m1,UV,13.36594791
#289,m1,UV,13.36689301
#974,m3,UV,13.36689301
#974,m3,UV,13.36783749
#003,m6,UV,13.36878135
#006,m4,UV,13.36878135
#282,m2,UV,13.36878135
#006,m1,UV,13.37066723
#022,m4,UV,13.37066723
#281,m2,UV,13.37066723
#974,m1,UV,13.37066723
#003,m4,UV,13.37255064
#006,m1,UV,13.37255064
#006,m2,UV,13.37255064
#009,m4,UV,13.37255064
#258,m1,UV,13.37255064
#003,m1,UV,13.37349143
#009,m4,UV,13.37349143
#022,m4,UV,13.37349143
#970,m6,UV,13.37349143
#009,m3,UV,13.3744316
#289,m1,UV,13.3744316
#317,m3,UV,13.3744316
#970,m1,UV,13.3744316
#258,m1,UV,13.37631011
#974,m3,UV,13.37631011
#009,m3,UV,13.37724845
#131,m2,UV,13.37724845
#282,m1,UV,13.37724845
#289,m1,UV,13.37818618
#006,m3,UV,13.3791233
#009,m1,UV,13.3791233
#317,m1,UV,13.3791233
#003,m1,UV,13.38099571
#009,m1,UV,13.38193101
#022,m3,UV,13.38193101
#022,m4,UV,13.38193101
#282,m2,UV,13.38193101
#289,m3,UV,13.38193101
#022,m3,UV,13.3828657
#291,m1,UV,13.3828657
#303,m2,UV,13.38379978
#970,m3,UV,13.38379978
#006,m5,UV,13.38473327
#974,m1,UV,13.38473327
#006,m5,UV,13.38566614
#009,m3,UV,13.38566614
#022,m2,UV,13.38566614
#263,m1,UV,13.38566614
#970,m1,UV,13.38566614
#006,m6,UV,13.38659842
#009,m3,UV,13.38659842
#131,m3,UV,13.38659842
#003,m4,UV,13.38753009
#022,m3,UV,13.38753009
